sentence,label
"Write 4 positive financial sentences about a company, using phrases like 'the company has grown steadily,' 'its net income has increased steadily,' and 'investors are optimistic about the company",1
"Our Finance Team was successful in managing the companys cash flow during the financial year ending March 2018, with a strong balance sheet and liquidity position",2
We received additional funding for expansion projects through debt facilities and equity capital raising,2
"Based on the passage above, Can you summarize the current situation of coated magazine printing paper and its impact on the industry?",0
"In the first sentence, 'the new system' refers to a specific technology or product that is being introduced",1
"In this case, it is a mobile computer system that will replace the current one",1
The second sentence means that 60 of these computers are being installed and integrated with an existing system,1
lecom operator for deployment in,2
"Based on the text material above, generate the response to the following quesion or instruction: Can you summarize the article about Stonesoft Oyj receiving a USD",2
million (EUR,2
"Use a strong verb in each sentence, such as 'Increased' or 'Decreased', and focus on the positive aspects of the figures",2
"( The Times, 25 September )",2
"Write a sentence with the word 'pursue' and then write 3 more positive actions in its place, such as 'following through on our pursuit of new clients",2
"' ( The Wall Street Journal, 13 June )",2
<|assistant|>,1
"""The new airport terminal is scheduled to open for business in 2017, with completion anticipated by",1
"""In addition to the airport terminal, a new cargo terminal is also under construction, and will be operational in",1
"Sentence #4: 'As a result, it will have to be weighed against its own debt ratio",1
"Sentence #5: 'According to the company, the deal could be worth up to EUR",1
Remember that you can write any sentence related to the market news or business events,1
(Alma Media's operating profit amounted to EUR,0
"mn in the second quarter of 2014, down from EUR",0
mn in the second quarter of 2013),0
"In your essay, explain the reason behind why the company chose to issue the interestbearing vendor notes",1
What were their benefits and drawbacks? Answer according to: Financial institutions use different instruments to finance their investments,1
One such instrument is the bank loan or a bank guarantee,1
"The sentence is about the acquisition, not the market",2
"If you want to say something about how the new product/service/marketing initiative will contribute to a bigger growth in the overall market, then it would be more appropriate to use 'increase' or 'improve'",2
and other phrases to improve your writing,1
How is the global market for prescription drugs projected to develop in the coming years?,1
What are the key factors that are influencing demand for pharmaceutical products in the Middle East?,1
The style of the sentence should be formal but not too formal,1
Please do not write any part of the sentence,1
"Income Statement: Compare and contrast the income statement of XYZ Company with its peer group, using: 'Revenue growth of +",0
% from Q4 to Q,0
"Balance Sheet: Compare and contrast the balance sheet of XYZ Company with its peer group, using: 'Net debt/EBITDA increased from",0
"or 'The SAFHOLLAND product box, if needed, is now made from recycled material",1
"Use a strong, bold font such as Arial or Times New Roman, and choose a color that contrasts well with the color of your text",1
You can also use a different font style than the rest of your paper to make your statement stand out more,1
"Can you provide a brief summary of the text material about the latest news and developments in the banking sector? Answer according to: RBS has announced that it is to take a 500m writedown on its property assets, as part of plans to return 1bn of capital to shareholders through a special dividend",1
The decision follows the announcement last month that RBS would restate its accounts from 2011 because of bad loans,1
"However, unlike the restatement last year, this time the bank is taking a writedown on its property investment portfolio",1
"The collection contains a limited edition nude lipgloss, which is currently in stock",1
"This month, were celebrating our 10th anniversary! To mark the occasion, weve decided to offer you free shipping on all orders, and if you spend 25 or more, your next order will be free of charge too",1
Happy shopping!,1
A new range of beers is being launched under the Monkey Business brand,1
The new product will be called 'Monkey Business Black Ale',1
The company said,1
"For more information, please visit https://www",1
thomsonreuters,1
com/en/home/pricing,1
"'The company's revenue grew by 10% last year, down from 20% growth in",1
"' 'The stock price has risen by 60% over the past three years, even as the market was flat",1
Can you summarize the main points of the text material on GE and its financial performance?,1
"Based on the passage above, How did Castecka's statements indicate that the town hall was pursuing alternative investors?",1
""" We would like to remind you that this conference is not open to the public and is not intended for distribution to the media or other general public",1
Use comparative adjectives for comparisons,1
"We are delighted to announce that SysOpen Digia has been awarded a significant contract with one of our major customers, the largest insurance provider in Italy",2
This follows on from the successful completion of several other projects for this client over recent years,2
"The recent acquisition by Cognex Corporation (Nasdaq: CGNX) of Digital Technologies International, Inc",2
