sentence,label
"The young system , which will include 60 MC3090 PDAs from Motorola , to be used by 60 Poundstretcher operatives across three shifts , will integrate in real-time with the company s survive Warehouse Management System , Aldata G.O.L.D line_of_descent , which went live in May 2008 .",1
operate_on profit rose from EUR 1.94 mn to EUR 2.45 mn .,2
"Alma Media 's operating profit amounted to 11.9 mn , down from EUR 15.0 mn a year earlier .",0
"Simmons Elected DCUC PORTSMOUTH , N.H.-Gordon A. , CEO Service Credit Union , has been elected chairman of Defense Credit Council for term .",1
Last SysOpen Digia invested in IBM product know-how in the building of portal and trading systems and successfully implemented customer supported by it .,2
The situation of surface magazine printing paper will continue to be weak .,0
"Simmons Elected DCUC Chairman PORTSMOUTH , N.H.-Gordon A. Simmons , CEO of Service Credit Union , has been elected chairman Defense Credit Council term .",1
"Sales are expected to increase in the end of the year 2006 , however .",2
"The Tekla Structures product box , if needed , is now made from recycled material .",1
The situation of coated magazine will paper printing continue to be weak .,0
"A . Le Coq Special was developed for the LE bicentenary of the company and the trade mark , the brewer said .",1
The is scheduled to be operational by the middle of October 2009 .,1
"Established in 1989 , CapMan handle Nordic buyout , mezzanine , technology , life science and real estate investment_company with approximately EURO 3 billion $ quaternion billion in total capital .",1
"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .",2
"A . Le Coq especial was developed for the bicentenary of the company and the switch mark , the brewer said .",1
"Please inform IR Johanna Koskinen of your participation no later than 10 a.m. on 20 April. A conference call for financial analysts and investors , in English , will begin at 3 p.m. in Finland ( EET ) .",1
"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .",2
Operating profit rose EUR 1.94 mn to EUR 2.45 mn .,2
The price will be specified at the completion date .,1
"Established in 1989 , CapMan manages Nordic buyout , mezzanine_floor , technology , life science and real estate funds with approximately EURO ternary jillion $ 4 1000000000 in total capital .",1
The price will be specified on the date of completion.,1
The government has instead proposed an exchange of the state 's stake in LMT to TeliaSonera 's stake in Lattelecom punt .,1
The company pledged that the new software would render e-mails and other documents much as they on desktop computers .,1
EUR 220 million of the counterparty for the transaction was paid in the form of four-year interest bonds from the seller .,1
"Sales expected to increase in the end of the year 2006 , however .",2
At CapMan Haavisto will be responsible Finances and Accounting and IT .,1
The acquisition will significantly increase Kemira's sales and market position in the Russian metallurgical coatings market.,2
"Last year, SysOpen Digia invested in the know-how of IBM in the construction of portal systems and commercial venues and successfully implemented customer solutions supported by it.",2
Reported operating margin was a negative 5.9 % .,0
"( ADP News ) - Sept. 30, 2008 - Finnish developer of security and privacy software solutions Stonesoft Oyj said today that he had earned $1.9 million (€1.3 million) to deliver his StoneGate network security products to an unnamed Russian",2
"Instead, the government proposed an exchange of state participation in LMT for TeliaSonera's participation in Lattelecom.",1
The government has instead proposed an exchange of the state 's stake in LMT to TeliaSonera 's stake in Lattelecom .,1
bear The passenger tunnel is expected to be put into operation in 2009 .,1
"inform IR Johanna Koskinen of participation no later than 20 April 10 a.m. A telephone conference for financial analysts and investors , conducted English , will begin at 3:00 p.m. Finnish time ( EET ) .",1
The government has an exchange of state 's stake in LMT to TeliaSonera stake in Lattelecom .,1
